subject_id,artifact_type,severity,method,mse,corr,snr_after_db,snr_improvement_db,mean_band_rel_error,combined_score,l_freq,h_freq,order,q,mysize,wavelet,level,threshold_scale,mode,n_components,top_k,excluded_components,converged
2,drift,medium,Butterworth+Notch,3.1919867493729295e-11,0.98033138922371,13.932873718205128,1.0172072786459356,0.02752973721383527,0.9824322244047914,0.5,45.0,4.0,40.0,,,,,,,,,
2,emg,high,ICA,1.677167604702165e-11,0.989687510286433,16.61017062223189,-3.151014725024531,0.01800155941645178,0.9999999999926208,,,,,,,,,,30.0,1.0,[np.int64(22)],True
2,emg,low,ICA,6.5357744378258694e-12,0.9959788612111293,20.336175596810193,-6.474928580324438,0.0037719579777888037,0.9999999999937761,,,,,,,,,,15.0,1.0,[np.int64(14)],True
2,emg,medium,ICA,7.393723369874406e-12,0.9954552289397014,19.867907981167733,-3.7302297473658896,0.004067455323364716,0.9999999999936935,,,,,,,,,,20.0,1.0,[np.int64(17)],True
2,line,high,ICA,1.7935382473864767e-12,0.9988982209518031,24.645908284522378,11.383861926400556,0.0014303400756017829,0.9999999999970333,,,,,,,,,,30.0,2.0,"[np.int64(15), np.int64(12)]",True
2,line,low,ICA,4.47021476853493e-12,0.9972512441483655,21.727410725818167,-0.5926470097366483,0.0061911784870723515,0.9999999999940499,,,,,,,,,,30.0,2.0,"[np.int64(24), np.int64(29)]",True
2,line,medium,ICA,1.9716969948354167e-12,0.9987886533885436,24.377409251968515,7.884402629535245,0.0020899015140654884,0.9999999999957709,,,,,,,,,,30.0,2.0,"[np.int64(24), np.int64(20)]",True
2,mixed,high,ICA,4.564069973970132e-11,0.9725205041645008,12.419803928586324,6.220947461864949,0.01517743212767531,0.999999999998419,,,,,,,,,,15.0,4.0,"[np.int64(8), np.int64(7), np.int64(11), np.int64(10)]",True
2,mixed,low,ICA,2.90486179685842e-11,0.9822976873516781,14.329209480638319,1.8439756881480527,0.0073846244468258725,0.99821631944319,,,,,,,,,,30.0,4.0,"[np.int64(19), np.int64(22), np.int64(23), np.int64(29)]",True
2,mixed,medium,ICA,6.16934145456943e-12,0.9962115736712586,20.55266185236048,3.44350387777137,0.0031311749627165914,0.99999999999505,,,,,,,,,,20.0,2.0,"[np.int64(14), np.int64(13)]",True
3,blink,high,ICA,4.249565819023963e-11,0.9921757360832556,17.914622893707445,5.837969415897405,0.0024008782320599715,0.9999999999964899,,,,,,,,,,30.0,1.0,[np.int64(9)],True
3,blink,low,Wavelet,7.34502762966989e-11,0.9862558409791916,15.580418826569094,-12.159991775531864,0.03322006910372397,0.9999999999949287,,,,,,coif3,3.0,0.8,hard,,,,
3,blink,medium,ICA,1.1788643480810344e-10,0.9783024236542233,13.54775892950215,5.199383910719517,0.01307681352350656,0.9994173460286057,,,,,,,,,,10.0,3.0,"[np.int64(8), np.int64(9), np.int64(7)]",True
3,drift,high,Butterworth+Notch,2.8307735835219495e-10,0.946901971352147,9.76471575694389,1.554198623091553,0.044708708495814355,0.9757677794808044,0.5,45.0,2.0,40.0,,,,,,,,,
3,drift,low,ICA,4.0982328579416053e-11,0.9924157020139015,18.068416731196145,-1.4627727805254622,0.0006502353191786776,0.9999999999949283,,,,,,,,,,30.0,1.0,[np.int64(29)],True
3,drift,medium,Wavelet,2.5147123736174394e-10,0.9538432312840728,10.276962879557274,-1.4080906462391969,0.03518539358062191,0.9766286327238041,,,,,,coif3,3.0,0.8,hard,,,,
3,emg,high,ICA,9.007479282153271e-11,0.9831854622011307,14.705100045086043,-5.067243558853777,0.03689222638723745,0.9943337750111426,,,,,,,,,,30.0,1.0,[np.int64(12)],True
3,emg,low,Wavelet,7.273645619985302e-11,0.9863895266547991,15.62225935057958,-13.095345379027133,0.03383138011238515,0.9999999999940208,,,,,,coif3,3.0,0.8,hard,,,,
3,emg,medium,Wavelet,7.820457691268257e-11,0.9853617255925864,15.31157918044194,-8.524673346050308,0.0325908874208027,0.9999999999939444,,,,,,coif3,3.0,0.8,hard,,,,
3,line,high,ICA,5.895275626629827e-12,0.9989037767947581,25.91356565459195,12.590304574448318,0.0015930337131388834,0.999999999995651,,,,,,,,,,30.0,2.0,"[np.int64(13), np.int64(12)]",True
3,line,low,ICA,8.441568457907878e-12,0.9984317718820251,24.548640500631734,-0.09917843758199396,0.0018882599218594256,0.9999999999955971,,,,,,,,,,30.0,1.0,[np.int64(29)],True
3,line,medium,ICA,7.313689416981388e-12,0.998639912755948,25.10114400394253,6.870905307153713,0.0022374239087357113,0.9999999999956366,,,,,,,,,,20.0,2.0,"[np.int64(17), np.int64(16)]",True
3,mixed,high,ICA,6.463155641617782e-10,0.8919783666338943,6.187921470919578,4.455653893765332,0.009688576452561288,0.9999999999986395,,,,,,,,,,15.0,4.0,"[np.int64(3), np.int64(11), np.int64(12), np.int64(6)]",True
3,mixed,low,ICA,1.3302788597608847e-10,0.9754715112767205,13.027130289724862,0.5922900535296005,0.0038618540660832266,0.9999999999930731,,,,,,,,,,20.0,2.0,"[np.int64(17), np.int64(16)]",True
3,mixed,medium,ICA,2.105783725061238e-10,0.9627046189410268,11.044369243360897,1.5676974651222508,0.00741007660433829,0.999999999994913,,,,,,,,,,30.0,1.0,[np.int64(15)],True
4,blink,high,ICA,4.520806380175747e-11,0.9566390856083372,10.556096783018091,6.189188936229414,0.03749857833071675,0.9999999999984515,,,,,,,,,,10.0,4.0,"[np.int64(3), np.int64(4), np.int64(5), np.int64(9)]",True
4,blink,low,ICA,4.550926436693669e-12,0.9956593043863166,19.759619775981378,-3.0799883961911334,0.0103655474891633,0.9999999999969003,,,,,,,,,,30.0,1.0,[np.int64(26)],True
4,blink,medium,ICA,3.6656176280491545e-11,0.965901728471469,11.44491231134239,3.681018571120121,0.013308777609244177,0.9999999999970666,,,,,,,,,,10.0,2.0,"[np.int64(4), np.int64(6)]",True
4,drift,high,Butterworth+Notch,7.642384154132093e-11,0.9253207322446851,8.314527335863136,0.2104992474403815,0.05739456298801807,0.9745817948306867,0.5,45.0,2.0,40.0,,,,,,,,,
4,drift,low,Wavelet,1.7986334924515677e-11,0.9827586801686937,14.41886311820602,-4.71594994311063,0.028759292440253912,0.9999999999960743,,,,,,coif3,3.0,0.8,hard,,,,
4,drift,medium,ICA,3.0451078785565354e-11,0.9717814677576897,12.226919029828185,-1.3529405171806292,0.01715270605670196,0.9999999999950537,,,,,,,,,,30.0,1.0,[np.int64(22)],True
4,emg,high,Wavelet,1.787283285543217e-11,0.9828747576884985,14.444903558533962,-4.524101770913909,0.026737316640825334,0.9884311369500847,,,,,,coif3,3.0,0.8,hard,,,,
