artifact_type,severity,method,mean_mse,std_mse,mean_corr,std_corr,mean_snr_after_db,std_snr_after_db,mean_snr_improvement_db,std_snr_improvement_db,mean_band_rel_error,std_band_rel_error,mean_combined_score,std_combined_score,n_subjects
line,high,ICA,1.0669573231616725e-11,9.942790916143498e-12,0.991030403587183,0.011564496118648845,21.117134938850235,6.936308828402885,8.242524207250906,6.884066260744319,0.00526588053178738,0.007302100071100781,0.9984047788692644,0.003567022879007603,5
line,low,ICA,6.889429855388507e-12,3.478886073704126e-12,0.9961198951096323,0.004534762340729973,22.626077645149522,4.84492288913957,-0.2991514723403137,4.304662989300556,0.007077334259670774,0.007836725390839653,0.9999999999951421,1.1159418205367758e-12,4
line,low,Wavelet,2.43981986455851e-11,,0.9741068937096975,,12.740211096617493,,-9.059259059829024,,0.07067487930731912,,0.9386694129540651,,1
line,medium,ICA,4.395075434301017e-12,2.479561293044528e-12,0.9984546315094673,0.0007298835231858572,24.31191479291602,2.0550907967057537,6.971619450453442,1.813010585824666,0.0020388589544846993,0.0003114126618264466,0.9999999999956803,1.036268770077746e-12,4
line,medium,Wiener,2.5674373362011486e-11,,0.9735271538851153,,12.52729799545494,,-4.203102034073279,,0.21119366308781756,,0.7999999999867675,,1
mixed,high,ICA,3.4597813195073975e-10,4.247412699211606e-10,0.9322494353991975,0.056951891619151325,9.303862699752951,4.4066063453736435,5.33830067781514,1.2482510527882356,0.012433004290118298,0.00388120706882739,0.9999999999985293,1.5591018114729886e-13,2
mixed,high,Butterworth+Notch,3.4716362422833477e-10,2.614266829986753e-10,0.8195428812305044,0.050291031845387774,4.8089347206075885,1.3521108491734946,5.755698389643416,1.1029163858154931,0.0702684785665454,0.025760723405207596,0.9965414813421002,0.0059903300323946975,3
mixed,low,Butterworth+Notch,4.4054520475914104e-11,,0.9527452047806966,,10.250856534880018,,-0.9958236700357865,,0.02497006325942974,,0.9999999999850291,,1
mixed,low,ICA,7.132448321738188e-11,5.3176691086955766e-11,0.9792965931904887,0.003747723046938281,13.730768204344448,0.7875398375517221,0.47748831150155846,1.0058464725227778,0.005581744001803109,0.002476897566307881,0.9995540798558592,0.0008918402751128077,4
mixed,medium,Butterworth+Notch,4.759456276046876e-11,,0.9488511291926492,,9.922363464315703,,2.3884763163429135,,0.020246589789107653,,0.9999999999966243,,1
mixed,medium,ICA,1.0292564829307334e-10,9.1718471226028e-11,0.9715996521151286,0.01883305015316941,13.615995052839748,4.773564089681241,2.168216311751151,1.3259766247850475,0.004866365340722138,0.0020616164840905394,0.9999999999947343,2.1394967278455357e-12,4
